name,dob,sex,address,account_number,balance,photo_path
Billy Schmitt,1997-05-13,F,"636 Steven Valleys Apt. 815, Lake Marissa, UT 70842",SG1230000000,387.15,images/billy_schmitt.jpg
Timothy Miles,1993-11-21,M,"7902 Rasmussen Key, Jacobville, KY 57354",SG1230000001,899.65,images/timothy_miles.jpg
Michael Howard,1970-08-09,M,"93191 Mcfarland Hill Suite 947, Fletcherberg, NC 46299",SG1230000002,233.77,images/michael_howard.jpg
Sydney Schmidt,1967-11-03,M,"83214 Christopher Junctions Suite 685, West Jeffrey, NH 23783",SG1230000003,422.76,images/sydney_schmidt.jpg
Jeremy Garcia,1998-03-25,M,"51286 Harris Ferry Apt. 209, East Rosetown, ND 14675",SG1230000004,965.18,images/jeremy_garcia.jpg
Rebecca Williams,1986-02-13,F,"27553 Marc Lakes, North Ryan, NC 43817",SG1230000005,634.76,images/rebecca_williams.jpg
Dustin Weber,1975-08-18,M,"8934 Rebecca Extension Apt. 956, Rangelburgh, AL 43818",SG1230000006,356.62,images/dustin_weber.jpg
Christopher Lawson,1984-09-07,F,"4475 Bowen Plains Apt. 490, Danielside, NY 86110",SG1230000007,664.43,images/christopher_lawson.jpg
Jeremy Frazier,1976-10-29,M,"PSC 3200, Box 0141, APO AE 84119",SG1230000008,261.33,images/jeremy_frazier.jpg
Megan Sherman,1972-02-03,F,"48104 Salazar Coves Apt. 216, South Elizabeth, GA 38266",SG1230000009,845.21,images/megan_sherman.jpg
